startHub,endHub,kmLength_euclid,kmLength_road,exist_pipeline
laPorte,leagueCity,18.9832860678342,23.9321,0
amarillo,wichitaFalls,338.2304669210329,360.49240000000003,0
chocolateBay,freeport,129.0626324372471,163.3405,1
freeport,pearland,67.8652893082327,84.0287,0
theWoodlands,centerville,128.2379374453258,143.9832,0
beaumont,tyler,79.43068574749273,92.2563,0
elPaso,vanHorn,175.848887078806,195.8609,0
theWoodlands,sugarLand,62.543284190035656,78.4503,0
deerPark,pearland,22.167793267827076,29.6067,0
deerPark,houston,24.2901682908935,29.6485,0
pasadena,deerPark,8.396339284844027,11.2181,1
wichitaFalls,dallas,201.55682182169642,220.70589999999999,0
sanJacinto,centerville,111.95019481305205,134.1524,0
midland,abilene,223.4775098791806,258.00329999999997,0
austin,sanAntonio,118.4357018380673,128.0057,0
collegeStation,sanAntonio,245.51582773666527,283.6008,0
killeen,austin,93.61096108519504,108.2025,0
odessa,sonora,216.6227363383239,274.5755,0
mcallen,laredo,192.27737697018287,233.5419,0
theWoodlands,sanJacinto,47.7884327106235,79.3365,0
fortWorth,dallas,50.18818948352631,52.5011,0
sanAngelo,odessa,187.19684779916642,212.5346,0
texasCity,chocolateBay,188.12527400120595,214.8872,1
texasCity,freeport,65.08311643967602,77.8219,0
odessa,midland,33.76510914709317,52.168800000000005,0
odessa,amarillo,375.66397151240767,416.19370000000004,0
pasadena,pearland,15.922903807166872,21.189,0
sanAngelo,sonora,101.22992854552443,106.1862,0
waco,dallas,139.75266300122152,152.13660000000002,0
texarkana,tyler,299.27840619203994,352.32309999999995,0
sonora,sanAntonio,242.38684267283935,274.4207,0
sanJacinto,deerPark,89.08899173769765,112.9015,1
baytown,montBelvieu,14.971505269142023,17.877599999999997,1
pearland,houston,22.958563640587307,27.3803,0
pasadena,houston,17.049626376486593,22.911,0
freeport,brazoria,28.606951712219512,37.0205,1
chocolateBay,brazoria,127.34048133440879,142.3679,0
orange,beaumont,19.4527546564934,30.358,0
collegeStation,houston,133.70219536195603,147.38320000000002,0
corpusChristi,mcallen,191.4105755381947,246.4745,0
sanAngelo,midland,154.17840716872686,197.4942,0
killeen,sanAntonio,201.24190182648766,234.1463,0
chocolateBay,sanAntonio,205.78169552573289,229.68079999999998,0
channelview,deerPark,7.887419284052508,14.59,1
orange,tyler,84.6080698105821,120.4494,0
baytown,texasCity,38.01138538502652,46.6716,0
sanAngelo,abilene,126.76549907798965,142.3745,0
baytown,deerPark,14.530781764691998,18.784299999999998,0
texasCity,leagueCity,21.148119045712157,27.1794,0
fortWorth,wichitaFalls,167.21597449454467,183.98020000000002,0
fortWorth,abilene,228.79397019976156,242.9099,0
freeport,leagueCity,66.41128952560715,82.71910000000001,0
portArthur,beaumont,28.748517170467736,32.414,1
laPorte,deerPark,10.995100538327677,13.7054,0
sanJacinto,tyler,80.56647168312057,103.7435,0
fortWorth,waco,134.37996789605774,143.17260000000002,0
brownsville,corpusChristi,206.6041054395224,260.0396,0
deerPark,leagueCity,22.062554683298515,33.961400000000005,0
odessa,elPaso,389.4959688232837,457.5583,0
sugarLand,houston,30.069049972098014,33.4808,0
portArthur,montBelvieu,92.38641750902464,99.378,1
texarkana,dallas,264.07467239518155,284.0928,0
abilene,dallas,278.8348993186006,293.4388,0
odessa,vanHorn,250.0210860393853,263.1594,0
collegeStation,waco,128.1963270378341,147.9478,0
brazoria,pearland,47.079456897107164,57.1699,0
orange,portArthur,27.935347556971852,36.666,1
brownsville,mcallen,80.66336580074118,95.8562,0
fortWorth,texarkana,312.9625673249346,334.6626,0
leagueCity,pearland,19.55844051140185,22.5158,0
pasadena,channelview,13.107574048473165,18.5455,1
fortWorth,killeen,184.84208703538982,236.11870000000002,0
centerville,dallas,184.90155481818485,197.3041,0
theWoodlands,houston,47.72118674633027,52.9178,0
lubbock,odessa,198.67287408099577,222.4855,0
corpusChristi,laredo,209.58338150279096,228.11620000000002,0
vanHorn,midland,281.6636685958946,313.9278,0
pasadena,leagueCity,23.129821960675457,25.1436,0
waco,austin,152.40950173410138,163.14339999999999,0
amarillo,midland,373.7228423073429,405.883,0
montBelvieu,channelview,23.013481197415317,25.8782,1
laPorte,texasCity,31.43692493478365,36.508,1
pearland,sugarLand,34.2652004033507,39.6506,0
collegeStation,centerville,78.92972385400303,104.5642,0
pasadena,sugarLand,41.89910646955212,47.380300000000005,0
abilene,wichitaFalls,198.43295509783127,245.8006,0
baytown,laPorte,8.714227358691438,12.2708,0
sanJacinto,houston,84.65467166132818,98.1092,0
killeen,dallas,203.52863234900295,244.9452,0
laredo,sanAntonio,234.43207495371058,250.92970000000003,0
lubbock,midland,194.18617552556847,211.55079999999998,0
amarillo,abilene,361.6363443869978,457.153,0
lubbock,amarillo,179.78444709168932,194.995,0
elPaso,midland,423.24266770059745,508.06309999999996,0
montBelvieu,laPorte,23.653253132425355,29.0186,0
lubbock,abilene,232.92992837352517,263.58279999999996,0
sonora,midland,191.46834318007566,244.9529,0
channelview,houston,24.501567902138824,26.8463,0
centerville,waco,115.51726926820433,133.857,0
sanJacinto,laPorte,94.66272840100825,125.1195,1
theWoodlands,collegeStation,94.48778090675677,108.5419,0
chocolateBay,corpusChristi,119.03324173483396,136.1175,0
leagueCity,brazoria,53.27209536498172,62.824400000000004,0
baytown,channelview,13.988366831400333,17.0083,0
brownsville,laredo,267.71883823549604,328.3433,0
sonora,abilene,224.63269198542974,249.38420000000002,0
baytown,sanJacinto,87.92507556424604,122.3154,1
collegeStation,killeen,142.98379460428092,172.3171,0
collegeStation,austin,139.41689336897795,169.74460000000002,0
killeen,abilene,240.9954530969098,291.7763,0
sanJacinto,collegeStation,111.28126516805003,140.6746,0
texasCity,pearland,40.26401568760614,46.539699999999996,0
channelview,laPorte,15.28339969348974,27.5167,0
killeen,waco,72.95461941862932,95.1592,0
centerville,texarkana,300.99268995730273,346.4674,0
brazoria,sugarLand,50.228400229530656,67.61,0
houston,sanAntonio,304.7100315921519,315.3021,1
corpusChristi,sanAntonio,212.61007047243288,233.9124,0
