producer,prod_capacity,prod_utilization,prod_h,prod_cost_capital,prod_cost_fixed,prod_cost_variable,prod_e_price,prod_ng_price,h2_tax_credit,co2_emissions_rate,ccs_capture_rate,chec_per_ton,prod_checs,prod_e,prod_ng,ccs_retrofit_variable_costs,co2_emitted,carbon_tax,co2_captured,carbon_capture_tax_credit,total_cost
austin_production_smr-high,393.3350666665355,0.9,354.00155999988147,272864.8496322153,22847.089798759305,31860.14039998933,29301.167380457628,226534.43610350048,243907.07483991832,0.8999999999999998,0.9,0.9,318.6014039998933,676850.9827197733,54162.23867998186,0.0,318.60140399989325,0.0,2867.41263599904,143370.631799952,196129.97667505173
baytown_production_smr-noCCSExisting,482.0,0.9,433.79999999996477,0.0,0.0,43379.99999999648,12836.596205950957,258642.9864516174,298888.19999997574,0.8999999999999998,0.9,0.9,390.41999999996824,277631.9999999775,62467.199999994926,245964.59999998,390.4199999999682,0.0,3513.7799999997146,175688.99999998574,86246.98265758337
brownsville_production_smr-high,300.00000000001563,0.9,270.000000000007,205540.52183150867,17209.995226200444,24300.00000000063,21506.68952496056,176446.98560376457,186030.00000000483,0.8999999999999998,0.9,0.9,243.0000000000063,516240.0000000134,41310.00000000107,0.0,243.00000000000625,0.0,2187.000000000057,109350.00000000284,149624.1921864272
channelview_production_smr-noCCSExisting,241.0,0.9,216.89999999997258,0.0,0.0,21689.999999997257,6418.298102975188,129321.49322580286,149444.09999998112,0.8999999999999998,0.9,0.9,195.20999999997534,138815.99999998245,31233.59999999605,122982.29999998446,195.20999999997528,0.0,1756.889999999778,87844.4999999889,43123.491328789736
dallas_production_smr-high,654.4461777768935,0.9,589.001559999204,459258.56766473694,38453.91500747929,53010.14039992836,49137.111462879344,364899.5109940591,405822.0748394516,0.8999999999999998,0.9,0.9,530.1014039992837,1126170.982718478,90117.23867987821,0.0,530.1014039992834,0.0,4770.912635993552,238545.6317996776,320391.53888995387
fortWorth_production_smr-high,654.4461777775916,0.9,589.0015599998321,459413.359275366,38466.87577480753,53010.14039998489,49137.111462931745,360822.7182311214,405822.07483988436,0.8999999999999998,0.9,0.9,530.1014039998489,1126170.9827196791,90117.23867997431,0.0,530.1014039998488,0.0,4770.91263599864,238545.63179993202,316482.49850439513
freeport_production_smr-noCCSExisting,482.0,0.9,433.7999999999895,0.0,0.0,43379.99999999895,12836.59620595169,259570.1918487393,298888.19999999274,0.8999999999999998,0.9,0.9,390.4199999999905,277631.99999999325,62467.199999998484,245964.59999999404,390.41999999999047,0.0,3513.7799999999147,175688.99999999572,87174.18805469561
houston_production_smr-high,398.89062222220844,0.9,359.00155999998714,274424.7359295202,22977.699741221364,32310.140399998843,31736.905747561592,227424.07294927,247352.07483999114,0.8999999999999998,0.9,0.9,323.1014039999884,686410.9827199754,54927.23867999803,0.0,323.10140399998835,0.0,2907.912635999896,145395.6317999948,196125.84812758619
laPorte_production_smr-noCCSExisting,1264.0,0.9,1137.5999999999503,0.0,0.0,113759.99999999504,33662.77511270253,678267.0848026072,783806.3999999658,0.8999999999999998,0.9,0.9,1023.8399999999554,728063.9999999682,163814.39999999286,645019.1999999719,1023.8399999999551,0.0,9214.5599999996,460727.99999998,226174.65991533082
lubbock_production_smr-high,300.0,0.9,213.0122299998645,167365.18718791704,14013.55823596361,19171.100699987805,15867.528630034745,135465.4285567092,146765.42646990664,0.8999999999999998,0.9,0.9,191.71100699987807,407279.3837597409,32590.87118997927,0.0,191.711006999878,0.0,1725.3990629989025,86269.95314994513,118847.42369076062
montBelvieu_production_smr-noCCSExisting,241.0,0.9,216.89999999995376,0.0,0.0,21689.999999995376,6418.298102974632,129993.3259628411,149444.09999996814,0.8999999999999998,0.9,0.9,195.2099999999584,138815.9999999704,31233.59999999334,122982.29999997378,195.20999999995834,0.0,1756.8899999996254,87844.49999998127,43795.324065835506
pasadena_production_smr-noCCSExisting,482.0,0.9,433.79999999997574,0.0,0.0,43379.99999999758,12836.596205951282,258642.98645162393,298888.1999999833,0.8999999999999998,0.9,0.9,390.4199999999782,277631.99999998446,62467.199999996505,245964.59999998624,390.4199999999781,0.0,3513.7799999998033,175688.99999999016,86246.98265758558
portArthur_production_smr-noCCSExisting,1927.0,0.9,1647.4351200004282,0.0,0.0,164743.51200004283,48749.330131280716,993650.7413250639,1135082.797680295,0.8999999999999998,0.9,0.9,1482.6916080003855,1054358.476800274,237230.65728006166,934095.7130402428,1482.691608000385,0.0,13344.224472003469,667211.2236001735,338945.27521616174
sanAntonio_production_smr-high,441.11284444295245,0.9,397.0015599986566,305096.1726591155,25545.83217074664,35730.14039987909,33292.991356650404,259181.06058151685,273534.0748390744,0.8999999999999998,0.9,0.9,357.30140399879093,759066.9827174314,60741.238679794464,0.0,357.3014039987909,0.0,3215.7126359891186,160785.63179945594,224526.49052937818
texasCity_production_smr-noCCSExisting,3252.0,0.9,2926.799999999869,0.0,0.0,292679.9999999869,86607.07647666812,1746299.9403614963,2016565.1999999098,0.8999999999999998,0.9,0.9,2634.1199999998826,1873151.9999999162,421459.19999998115,1659495.5999999258,2634.1199999998817,0.0,23707.079999998943,1185353.9999999471,583163.4168382203
vanHorn_production_electrolyzer-RE,262.503600002031,0.4,105.00144000081207,89846.58897449572,5015.262046832164,0.0,204541.82335811792,0.0,315004.32000243623,0.0,0.0,1.0,105.00144000081207,5250072.000040604,0.0,0.0,0.0,0.0,0.0,0.0,-15600.645622990385
